English word,French word,Frequency
consider,considérer,89

almost,presque,161

prison,prison,260

france,France,529

heavy,lourd,169

displeasure,mécontentement,43

paper,papier,122

though,bien que,1395

appear,apparaître,231

cheer,acclamation,131

finger,doigt,114

first,première,1175

readable,lisible,224

regard,qui concerne,62

single,Célibataire,64

without,sans pour autant,368

merit,mérite,79

trust,confiance,244

until,jusqu'à,78

peace,paix,556

house,maison,662

posthumus,posthume,129

steel,acier,78

ghost,fantôme,112

hence,Par conséquent,583

meant,signifiait,83

appears,apparaît,50

cloten,cailloter,111

ground,sol,182

indeed,En effet,438

strength,force,143

makes,fait du,360

afraid,peur,41

wherein,où,133

misery,misère,39

affections,affections,40

either,Soit,358

given,donné,205

lucentio,Lucentio,131

quick,rapide,328

flight,vol,56

prepare,préparer,82

knowledge,connaissance,99

stars,étoiles,71

clarence,clarté,211

offend,offenser,149

teach,enseigner,137

hector,Hector,224

tower,la tour,88

loving,aimant,122

knock,frappe,143

witness,témoin,142

consent,consentement,112

fruit,fruit,70

advice,Conseil,43

emilia,Émilie,153

slander,calomnie,92

greet,saluer,93

possible,possible,98

blush,rougir,89

entertain,divertir,98

seven,Sept,94

wealth,richesse,113

trial,procès,65

pound,livre,112

ransom,une rançon,66

undone,défait,55

twice,deux fois,72

castle,Château,116

sight,vue,239

follow,suivre,562

reign,règne,328

royal,Royal,255

dread,crainte,121

noise,bruit,117

since,depuis,462

natural,Naturel,105

victory,la victoire,47

counsel,Conseil,176

pardon,pardon,327

order,ordre,145

frown,froncer les sourcils,88

revolt,révolte,64

taught,enseigné,55

eternal,éternel,40

least,moins,101

colour,Couleur,168

morning,Matin,134

charge,charge,493

remain,rester,127

flourish,fleurir,146

guess,devine,55

pains,des douleurs,92

shepherd,berger,145

defend,défendre,85

obedience,obéissance,60

together,ensemble,281

change,changement,246

tongue,langue,503

spoke,parlait,219

whence,d'où,76

highness,altesse,189

lords,seigneurs,594

prince,prince,1126

emperor,empereur,112

table,table,292

purpose,objectif,261

didst,didst,183

search,chercher,61

fools,imbéciles,104

wench,jeune fille,85

affection,affection,118

commend,saluer,155

margaret,margaret,210

fenton,Fenton,46

modest,modeste,100

besides,outre,109

company,entreprise,215

therein,la bride,56

personal,personnel,237

remedy,remède,59

neither,ni,186

deserve,mériter,135

maintain,maintenir,58

except,sauf,60

belike,être comme,42

about,sur,415

parted,séparé,56

scarce,rare,90

offer,offre,178

welcome,Bienvenue,380

above,au dessus,147

apparel,vêtements,48

chaste,chaste,46

sweet,sucré,925

brows,sourcils,49

mother,mère,479

mischief,sottises,50

argument,argument,78

window,la fenêtre,69

storm,orage,81

witch,sorcière,139

throw,jeter,213

salerio,salerio,48

shape,forme,132

kindness,la gentillesse,79

under,sous,678

swear,jurer,356

whore,putain,104

marcus,Marcus,138

safety,sécurité,74

flatter,flatter,137

honest,honnête,406

percy,Percy,87

innocent,innocent,56

version,version,230

benefit,avantage,47

whole,entier,161

sooner,plus tôt,62

stood,se tenait,107

daughter,fille,494

lawful,légitime,77

ignorant,ignorant,48

estate,biens,58

perceive,apercevoir,103

soothsayer,devin,43

effect,effet,116

thrust,poussée,66

story,récit,93

feeble,faible,43

perhaps,peut-être,45

surely,sûrement,42

written,écrit,35

bottom,bas,110

constable,gendarme,90

sister,sœur,238

mercy,pitié,187

false,faux,355

henceforth,désormais,41

forward,vers l'avant,103

faint,perdre connaissance,76

herself,se,98

leisure,loisir,68

certain,certain,236

cannot,ne peux pas,762

husband,mari,373

blunt,cru,80

meaning,sens,64

already,déjà,148

soldier,soldat,491

sudden,soudain,129

leave,laisser,748

tarry,goudronneux,50

summer,été,100

tells,raconte,45

horse,cheval,335

party,fête,51

could,pourrait,654

parolles,parolles,175

golden,d'or,92

quarrel,querelle,129

habit,habitude,86

substance,substance,43

month,mois,97

there,Là,3094

deeds,actes,119

suffolk,suffolk,259

going,Aller,111

myself,moi même,567

opinion,opinion,97

having,ayant,158

power,Puissance,382

treason,trahison,116

plain,plaine,242

manner,manière,175

choice,choix,72

mariana,Mariana,48

messenger,Messager,334

third,troisième,247

always,toujours,63

happiness,bonheur,59

keeps,garde,76

paris,Paris,171

buried,enterré,59

proceed,procéder,134

patient,patient,130

pleasure,plaisir,258

alive,vivant,93

orlando,orlando,164

learn,apprendre,225

spirit,esprit,407

study,étude,68

valentine,Valentin,233

gaunt,décharné,78

bought,acheté,51

mowbray,mowbray,66

drawn,tiré,92

known,connu,233

fatal,fatal,45

flowers,fleurs,47

civil,civil,68

friend,ami,1017

money,argent,194

claudio,Claudio,180

despair,désespoir,62

lieutenant,lieutenant,81

blood,du sang,947

field,champ,242

practice,entraine toi,56

native,originaire de,45

knees,les genoux,51

virtue,vertu,244

labour,la main d'oeuvre,129

entreat,supplier,159

oberon,Oberon,45

council,conseil,58

drops,gouttes,58

execution,exécution,69

majesty,majesté,270

prove,prouver,371

complexion,complexion,47

reputation,réputation,47

stand,supporter,944

repair,réparation,52

breath,souffle,360

forth,en avant,441

number,nombre,103

spend,dépenser,80

success,Succès,88

souls,âmes,114

divine,Divin,59

rascal,coquin,90

device,dispositif,49

comes,vient,701

drums,tambours,42

behold,voir,199

desire,le désir,310

return,revenir,281

speak,parler,1413

sentence,phrase,45

father,père,1157

tread,bande de roulement,57

light,lumière,611

force,Obliger,276

fiend,démon,82

great,génial,1147

discover,découvrir,78

treasure,Trésor,58

patience,la patience,208

dearly,chèrement,42

whose,dont,618

citizen,citoyenne,268

palace,palais,167

gates,portes,105

death,décès,931

again,encore,1364

athens,Athènes,72

weeds,mauvaises herbes,44

quiet,silencieux,110

bring,apporter,526

lovely,charmant,53

sword,épée,427

march,Mars,169

marcius,Marcius,143

simple,Facile,129

sorry,Pardon,92

discourse,discours,67

motion,mouvement,113

spite,dépit,132

nature,la nature,412

saint,Saint,149

madness,la démence,68

